EMPRESA (SIGLA),MES,AEROPORTO DE ORIGEM (UF),AEROPORTO DE DESTINO (REGIAO),ORDER
AAL,2020,DALLAS & FORT WORTH,RIO DE JANEIRO,258934
AAL,2020,DALLAS & FORT WORTH,GUARULHOS,7932760
AAL,2020,NEW YORK,RIO DE JANEIRO,4601510
AAL,2020,NEW YORK,GUARULHOS,7242730
AAL,2020,LOS ANGELES,GUARULHOS,4884080
AAL,2020,MIAMI,BRASÍLIA,74226
AAL,2020,MIAMI,BRASÍLIA,2511840
AAL,2020,MIAMI,MANAUS,1278330
AAL,2020,MIAMI,RIO DE JANEIRO,5585190
AAL,2020,MIAMI,GUARULHOS,12267700
AAL,2020,BRASÍLIA, FLORIDA,81544
AAL,2020,BRASÍLIA, FLORIDA,2191750
AAL,2020,MANAUS, FLORIDA,1193330
AAL,2020,RIO DE JANEIRO, NEW YORK,5673490
AAL,2020,RIO DE JANEIRO, FLORIDA,6100960
AAL,2020,RIO DE JANEIRO,SP,0
AAL,2020,GUARULHOS, TEXAS,9434740
AAL,2020,GUARULHOS, NEW YORK,8091920
AAL,2020,GUARULHOS, CALIFORNIA,4933030
AAL,2020,GUARULHOS, FLORIDA,11764100
AAL,2020,DALLAS & FORT WORTH,MIAMI,99110
AAL,2020,DALLAS & FORT WORTH,GUARULHOS,6870810
AAL,2020,NEW YORK,RIO DE JANEIRO,6191840
AAL,2020,NEW YORK,GUARULHOS,6793020
AAL,2020,LOS ANGELES,GUARULHOS,4717820
AAL,2020,MIAMI,NEW YORK,79065
AAL,2020,MIAMI,BRASÍLIA,2373370
AAL,2020,MIAMI,MANAUS,974628
AAL,2020,MIAMI,RIO DE JANEIRO,5294010
AAL,2020,MIAMI,GUARULHOS,11408900
AAL,2020,BRASÍLIA, NEW YORK,
AAL,2020,BRASÍLIA, FLORIDA,2047670
AAL,2020,MANAUS, FLORIDA,807064
AAL,2020,RIO DE JANEIRO, NEW YORK,5182900
AAL,2020,RIO DE JANEIRO, FLORIDA,5874610
AAL,2020,RIO DE JANEIRO,DF,0
AAL,2020,GUARULHOS, TEXAS,8475580
AAL,2020,GUARULHOS, NEW YORK,7584780
AAL,2020,GUARULHOS, CALIFORNIA,4639520
AAL,2020,GUARULHOS, FLORIDA,11028900
AAL,2020,DALLAS & FORT WORTH,GUARULHOS,3339840
AAL,2020,NEW YORK,RIO DE JANEIRO,2254760
AAL,2020,NEW YORK,GUARULHOS,3345650
AAL,2020,LOS ANGELES,GUARULHOS,2306570
AAL,2020,MIAMI,BRASÍLIA,1204170
AAL,2020,MIAMI,MANAUS,374428
AAL,2020,MIAMI,RIO DE JANEIRO,3001420
AAL,2020,MIAMI,GUARULHOS,5885220
AAL,2020,BRASÍLIA, FLORIDA,739119
AAL,2020,MANAUS, FLORIDA,352339
AAL,2020,RIO DE JANEIRO, NEW YORK,2475860
AAL,2020,RIO DE JANEIRO, FLORIDA,3048510
AAL,2020,GUARULHOS, TEXAS,3930360
AAL,2020,GUARULHOS, NEW YORK,3506540
AAL,2020,GUARULHOS, CALIFORNIA,2369730
AAL,2020,GUARULHOS, FLORIDA,5236200
AAL,2020,MIAMI,GUARULHOS,1443540
AAL,2020,GUARULHOS, FLORIDA,1942430
AAL,2020,GUARULHOS,,0
AAL,2020,MIAMI,GUARULHOS,1466660
AAL,2020,GUARULHOS, FLORIDA,2465480
AAL,2020,MIAMI,GUARULHOS,3239790
AAL,2020,GUARULHOS, FLORIDA,154600
AAL,2020,GUARULHOS, FLORIDA,2842810
AAL,2020,NEW YORK,GUARULHOS,359049
AAL,2020,MIAMI,GUARULHOS,4847730
AAL,2020,GUARULHOS, NEW YORK,982890
AAL,2020,GUARULHOS, FLORIDA,4993670
AAL,2020,DALLAS & FORT WORTH,GUARULHOS,114880
AAL,2020,DALLAS & FORT WORTH,GUARULHOS,1032560
AAL,2020,NEW YORK,GUARULHOS,94090
AAL,2020,MIAMI,GUARULHOS,156467
AAL,2020,MIAMI,GUARULHOS,5207480
AAL,2020,GUARULHOS, TEXAS,0
AAL,2020,GUARULHOS, TEXAS,901338
AAL,2020,GUARULHOS, NEW YORK,59641
AAL,2020,GUARULHOS, FLORIDA,191270
