EMPRESA (SIGLA),MÊS,AEROPORTO DE ORIGEM (UF),AEROPORTO DE DESTINO (REGIÃO),ORDER
AAL,2021,DALLAS & FORT WORTH,GUARULHOS,4074720
AAL,2021,MIAMI,MANAUS,17795
AAL,2021,MIAMI,MANAUS,69452
AAL,2021,MIAMI,RIO DE JANEIRO,2073440
AAL,2021,MIAMI,GUARULHOS,3810030
AAL,2021,MANAUS, FLORIDA,87739
AAL,2021,RIO DE JANEIRO, FLORIDA,129403
AAL,2021,RIO DE JANEIRO, FLORIDA,3608720
AAL,2021,GUARULHOS, TEXAS,5188130
AAL,2021,GUARULHOS, FLORIDA,5314570
AAL,2021,DALLAS & FORT WORTH,GUARULHOS,3358310
AAL,2021,MIAMI,BOA VISTA,7426
AAL,2021,MIAMI,MANAUS,38888
AAL,2021,MIAMI,RIO DE JANEIRO,1841480
AAL,2021,MIAMI,GUARULHOS,609827
AAL,2021,MIAMI,GUARULHOS,3908480
AAL,2021,CANCUN/INTL, TEXAS,31386
AAL,2021,BOA VISTA,AM,0
AAL,2021,MANAUS, FLORIDA,50060
AAL,2021,RIO DE JANEIRO, FLORIDA,3441280
AAL,2021,GUARULHOS, TEXAS,4168970
AAL,2021,GUARULHOS, FLORIDA,239017
AAL,2021,GUARULHOS, FLORIDA,4584390
AAL,2021,GUARULHOS,,0
AAL,2021,DALLAS & FORT WORTH,GUARULHOS,3665920
AAL,2021,NEW YORK,GUARULHOS,214185
AAL,2021,MIAMI,MANAUS,62675
AAL,2021,MIAMI,RIO DE JANEIRO,274307
AAL,2021,MIAMI,RIO DE JANEIRO,2152640
AAL,2021,MIAMI,GUARULHOS,157559
AAL,2021,MIAMI,GUARULHOS,3792510
AAL,2021,MANAUS, FLORIDA,51987
AAL,2021,RIO DE JANEIRO, FLORIDA,4417550
AAL,2021,GUARULHOS, TEXAS,250188
AAL,2021,GUARULHOS, TEXAS,5161450
AAL,2021,GUARULHOS, NEW YORK,573318
AAL,2021,GUARULHOS, FLORIDA,5397800
AAL,2021,DALLAS & FORT WORTH,GUARULHOS,3373200
AAL,2021,NEW YORK,GUARULHOS,2739910
AAL,2021,MIAMI,MANAUS,31749
AAL,2021,MIAMI,RIO DE JANEIRO,2219320
AAL,2021,MIAMI,GUARULHOS,3841770
AAL,2021,MANAUS, FLORIDA,25511
AAL,2021,RIO DE JANEIRO, FLORIDA,3909960
AAL,2021,GUARULHOS, TEXAS,4468610
AAL,2021,GUARULHOS, NEW YORK,3586450
AAL,2021,GUARULHOS, FLORIDA,4364060
AAL,2021,GUARULHOS, MONTEVIDEO,11883
AAL,2021,DALLAS & FORT WORTH,GUARULHOS,2498130
AAL,2021,NEW YORK,GUARULHOS,2670430
AAL,2021,MIAMI,RIO DE JANEIRO,2221900
AAL,2021,MIAMI,GUARULHOS,5848800
AAL,2021,RIO DE JANEIRO, FLORIDA,3069360
AAL,2021,GUARULHOS, TEXAS,2794950
AAL,2021,GUARULHOS, NEW YORK,2889340
AAL,2021,GUARULHOS, FLORIDA,6316100
AAL,2021,DALLAS & FORT WORTH,GUARULHOS,2290380
AAL,2021,NEW YORK,BOA VISTA,50734
AAL,2021,NEW YORK,GUARULHOS,2550370
AAL,2021,MIAMI,RIO DE JANEIRO,2330750
AAL,2021,MIAMI,GUARULHOS,5421240
AAL,2021,BOA VISTA,,0
AAL,2021,RIO DE JANEIRO, FLORIDA,2686730
AAL,2021,GUARULHOS, TEXAS,0
AAL,2021,GUARULHOS, TEXAS,2594460
AAL,2021,GUARULHOS, NEW YORK,1964990
AAL,2021,GUARULHOS, FLORIDA,5547480
ACA,1, QUEBEC,SP,0
ACA,1,,SUDESTE,32776
ACA,1,,SUDESTE,73746
ACA,1,SP,,0
ACA,1,SP,,114716
ACA,2,,SUDESTE,98328
ACA,2,SP,,98328
ACA,3,,SUDESTE,90134
ACA,3,SP,,90134
ACA,4,,SUDESTE,65552
ACA,4,SP,,65552
ACA,5,,SUDESTE,98328
ACA,5,SP,,98328
ACA,6,,SUDESTE,65552
ACA,6,SP,,65552
ADB,2,PA,,4863
ADB,2,,NORTE,1065
ADB,3,PA,,3450
ADB,3,PA,,0
ADB,3,SP,,9428
ADB,3,,NORTE,2130
ADB,3,,SUDESTE,3349
ADB,5, DC,SP,0
ADB,5,SP,,5147
ADB,5,SP,,0
ADB,5,,SUDESTE,3349
AEA,1,,NORDESTE,5170
AEA,1,,,1765
AEA,1,,SUDESTE,100536
AEA,1,,NORDESTE,
AEA,1,,NORDESTE,41592
AEA,1,SP,,100536
AEA,1,BA,,55456
AEA,2,,SUDESTE,50268
AEA,2,,NORDESTE,6932
AEA,2,SP,,41890
AEA,2,SP,,8378
AEA,2,BA,,6932
AEA,3,,SUDESTE,50268
AEA,3,SP,,33512
AEA,3,SP,,16756
AEA,4,,SUDESTE,67024
AEA,4,SP,,67024
AEA,5,,SUDESTE,58646
AEA,5,SP,,67024
AEA,6,,SUDESTE,67024
AEA,6,SP,,75402
AFR,1,,NORDESTE,21237
AFR,1,,SUDESTE,18368
AFR,1,,SUDESTE,165312
AFR,1,,SUDESTE,300960
AFR,1,CE,,21237
AFR,1,RJ,,18368
AFR,1,RJ,,156128
AFR,1,SP,,9405
AFR,1,SP,,291555
AFR,2,,SUDESTE,146944
AFR,2,,SUDESTE,272745
AFR,2,RJ,,146944
AFR,2,SP,,272745
AFR,3,,SUDESTE,156128
AFR,3,,SUDESTE,300960
AFR,3,RJ,,165312
AFR,3,SP,,300960
AFR,4,,SUDESTE,119392
AFR,4,,SUDESTE,235125
AFR,4,RJ,,110208
AFR,4,SP,,235125
AFR,5,,SUDESTE,119392
AFR,5,,SUDESTE,206910
AFR,5,RJ,,128576
AFR,5,SP,,225720
AFR,6,,SUDESTE,119392
AFR,6,,SUDESTE,253935
AFR,6,RJ,,119392
AFR,6,SP,,244530
AJB,4,,SUDESTE,3388
AJB,4, MISIONES PROVINCE,GO,0
AJB,4,GO,,0
AJB,4,SP,,3388
AJB,5,,SUDESTE,1694
AJB,5,SP,,1694
AMX,1,,SUDESTE,7433
AMX,1,,SUDESTE,327052
AMX,1,SP,,7433
AMX,1,SP,,319619
AMX,2,,SUDESTE,14866
AMX,2,,SUDESTE,208124
AMX,2,SP,,14866
AMX,2,SP,,215557
AMX,3,,SUDESTE,14866
AMX,3,,SUDESTE,230423
AMX,3,SP,,7433
AMX,3,SP,,237856
AMX,4,,SUDESTE,22299
AMX,4,,SUDESTE,222990
AMX,4,SP,,22299
AMX,4,SP,,222990
AMX,5,,SUDESTE,14866
AMX,5,,SUDESTE,230423
AMX,5,SP,,14866
AMX,5,SP,,230423
AMX,6,,SUDESTE,7433
AMX,6,,SUDESTE,222990
AMX,6,SP,,7433
AMX,6,SP,,222990
ARE,4,SP,,4336
ARE,4,,SUDESTE,4416
ARE,5,RJ,,4541
ARE,5,,SUDESTE,4541
ARG,1, BUENOS AIRES PROVINCE,SC,0
ARG,1, BUENOS AIRES PROVINCE,RJ,0
ARG,1, BUENOS AIRES PROVINCE,RJ,0
ARG,1, BUENOS AIRES PROVINCE,SP,0
ARG,1, BUENOS AIRES PROVINCE,SP,0
ARG,1, BUENOS AIRES PROVINCE,BA,0
ARG,1,SC,,0
ARG,1,RJ,,0
ARG,1,RJ,,0
ARG,1,SP,,0
ARG,1,SP,,0
ARG,1,BA,,0
ARG,2, BUENOS AIRES PROVINCE,SC,0
ARG,2, BUENOS AIRES PROVINCE,RJ,0
ARG,2, BUENOS AIRES PROVINCE,RJ,0
ARG,2, BUENOS AIRES PROVINCE,SP,0
ARG,2,SC,,0
ARG,2,RJ,,0
ARG,2,SP,,0
ARG,3,,SUDESTE,1969
ARG,3,,SUDESTE,3938
ARG,3,,SUDESTE,5082
ARG,3, BUENOS AIRES PROVINCE,SC,0
ARG,3, BUENOS AIRES PROVINCE,SC,0
ARG,3, BUENOS AIRES PROVINCE,RJ,0
ARG,3, BUENOS AIRES PROVINCE,RJ,0
ARG,3, BUENOS AIRES PROVINCE,SP,0
ARG,3, BUENOS AIRES PROVINCE,SP,0
ARG,3,SC,,0
ARG,3,SC,,0
ARG,3,RJ,,1969
ARG,3,RJ,,3938
ARG,3,RJ,,0
ARG,3,RJ,,0
ARG,3,SP,,5082
ARG,3,SP,,0
ARG,3,SP,,0
ARG,4,,CENTRO-OESTE,2327
ARG,4,,CENTRO-OESTE,2327
ARG,4,,SUL,1211
ARG,4,,SUDESTE,3938
ARG,4,,SUDESTE,3388
ARG,4, BUENOS AIRES PROVINCE,RJ,0
ARG,4, BUENOS AIRES PROVINCE,SP,0
ARG,4,DF,,4654
ARG,4,SC,,1211
ARG,4,RJ,,3938
ARG,4,RJ,,0
ARG,4,SP,,3388
ARG,4,SP,,0
ARG,5,,SUDESTE,3938
ARG,5,,SUDESTE,3388
ARG,5,,SUDESTE,6776
ARG,5,,SUL,849
ARG,5, BUENOS AIRES PROVINCE,CE,0
ARG,5, BUENOS AIRES PROVINCE,RJ,0
ARG,5, BUENOS AIRES PROVINCE,SP,0
ARG,5, BUENOS AIRES PROVINCE,SP,0
ARG,5, BUENOS AIRES PROVINCE,BA,0
ARG,5,CE,,0
ARG,5,RJ,,3938
ARG,5,RJ,,0
ARG,5,SP,,3388
ARG,5,SP,,0
ARG,5,SP,,0
ARG,5,RS,,849
ARG,5,BA,,0
ARG,6,,SUDESTE,1694
ARG,6, BUENOS AIRES PROVINCE,DF,0
ARG,6, BUENOS AIRES PROVINCE,MT,0
ARG,6, BUENOS AIRES PROVINCE,RJ,0
ARG,6, BUENOS AIRES PROVINCE,SP,0
ARG,6, BUENOS AIRES PROVINCE,SP,0
ARG,6,DF,,0
ARG,6,MT,,0
ARG,6,RJ,,0
ARG,6,SP,,1694
ARG,6,SP,,0
ARG,6,SP,,0
ARL,4,SP,,1849
ARL,4,SP,,4222
ARL,4,SP,,1770
ARL,4,RS,,819
ARL,4,,SUDESTE,4304
ARL,4,,SUDESTE,4222
ARL,4,,,
ARL,4,,,
ARL,4,,SUDESTE,4227
ARL,4,,,
ARL,4,,SUL,819
ARL,4,,,
ATG,3,,SUDESTE,9495
ATG,3,RJ,,9458
AVA,1,RJ,,54492
AVA,1,SP,,121408
AVA,1,,SUDESTE,49951
AVA,1,,SUDESTE,121408
AVA,4,SP,,4336
AVA,4,,SUDESTE,4336
AVA,5,RJ,,5082
AVA,5,,SUDESTE,5082
AVA,6,MT,,3010
AVA,6,,CENTRO-OESTE,3596
AZA,1,,SUDESTE,9485
AZA,1,,SUDESTE,18866
AZA,1,,NORDESTE,7333
AZA,1,SP,,9485
AZA,1,SP,,18866
AZA,1,PE,,7333
AZA,2,,SUDESTE,37940
AZA,2,,SUL,9787
AZA,2,,SUDESTE,18866
AZA,2,,NORDESTE,7333
AZA,2,PR,,9787
AZA,2,SP,,37940
AZA,2,SP,,18866
AZA,2,PE,,7387
AZA,3,,SUDESTE,37940
AZA,3,,NORDESTE,7387
AZA,3,,SUDESTE,17882
AZA,3,,SUDESTE,18866
AZA,3,MG,,17882
AZA,3,SP,,37940
AZA,3,SP,,18866
AZA,3,PE,,7387
AZA,4,,SUDESTE,18970
AZA,4,,SUDESTE,9433
AZA,4, BUENOS AIRES PROVINCE,MG,0
AZA,4,MG,,8989
AZA,4,SP,,18970
AZA,4,SP,,9433
AZA,5,,SUDESTE,56910
AZA,5,,NORDESTE,7387
AZA,5,,SUDESTE,28299
AZA,5,MG,,8989
AZA,5,SP,,56910
AZA,5,SP,,28299
AZA,5,PE,SUDESTE,1608
AZA,6,,SUDESTE,56910
AZA,6,,SUDESTE,28299
AZA,6,SP,,66395
AZA,6,SP,,18866
AZN,1,SP,,57319
AZN,1,SP,,0
AZN,1,,SUDESTE,2393
AZN,1,,SUDESTE,57319
AZN,2,SP,,40678
AZN,2,,SUDESTE,44376
AZN,3,SP,,1849
AZN,3,,SUDESTE,1849
AZN,4,BA,,2711
AZN,4,,NORDESTE,2711
AZN,5,CE,,3534
AZN,5,CE,,3092
AZN,5,RS,,3664
AZN,5,,NORDESTE,7068
AZN,5,,SUL,3664
AZP,1,SC,,2796
AZP,1,RJ,,2946
AZP,1,,SUL,2796
AZP,1,,SUDESTE,2946
AZP,3,SP,,1137
AZP,3,,SUDESTE,1137
AZP,4,SP,,0
AZP,4, MONTEVIDEO,SP,0
AZP,5,GO,,1287
AZP,5,SP,,1137
AZP,5,SP,,0
AZP,5,,CENTRO-OESTE,1287
AZP,5,,SUDESTE,2274
AZU,1, FLORIDA,RR,12163
AZU,1, FLORIDA,SP,391543
AZU,1, FLORIDA,SP,535470
AZU,1, GEORGIA, FLORIDA,0
AZU,1, GEORGIA, INDIANA,0
AZU,1,,SUDESTE,118920
AZU,1,,NORTE,8256
AZU,1,CE,SUDESTE,20538
AZU,1,SP,SUDESTE,220
AZU,1,SP,SUDESTE,9020
AZU,1,SP,NORDESTE,6130
AZU,1,SE,SUDESTE,20604
AZU,1,SE,SUDESTE,44486
AZU,1,SE,NORDESTE,41976
AZU,1,SE,NORDESTE,1223
AZU,1,MT,CENTRO-OESTE,19933
AZU,1,SP,SUDESTE,21438
AZU,1,PA,NORTE,0
AZU,1,PA,NORTE,1437
AZU,1,PA,NORTE,24429
AZU,1,PA,SUDESTE,116872
AZU,1,PA,NORTE,6072
